target_frequency_ghz,target_bandwidth_mhz,substrate_epsilon_r,substrate_height_mm,patch_length_mm,patch_width_mm,feed_width_mm,feed_offset_y_mm
5.293,218.289,2.2,1.766,17.306923541983586,25.53960022001569,1.4888519023894795,-5.693425562204176
4.8919,82.552,2.2,2.765,18.81618417867481,23.156477488081094,1.5054415762494309,-5.507255986649091
2.9374,107.849,4.4,2.57,23.91476937918071,30.424353184814724,1.8108295403524195,-7.096961680518976
1.1541,147.914,2.2,1.469,84.4539130392386,106.01723392666376,6.101764631869679,-24.973462943458177
1.7616,218.007,4.4,1.902,39.964199909523565,55.07811488316929,3.1350167990928326,-13.25661992549618
2.5298,186.389,2.2,1.245,38.08471517747005,51.93446398022405,2.962978713187899,-12.026229657054468
3.9546,36.157,4.4,1.563,18.418241445581558,23.01881805327971,1.191012169809059,-5.195967371040392
2.4062,208.044,2.2,2.279,41.71475015236298,54.599905003372,3.3863313678295994,-13.48873363943762
5.4584,232.124,2.2,2.983,17.17467658375105,24.69194202129569,1.5366024670377791,-6.063462677930381
4.887,292.393,2.2,1.483,19.843267905768457,25.909703235196588,1.7022518199238252,-7.428409008848945
4.3143,288.018,4.4,1.875,15.587372044277105,24.75599579696432,1.360449840527722,-5.594556624455971
4.0301,264.29,3.0,1.968,20.827486665234662,28.682578417932568,1.708943464224291,-7.226419658111923
1.7681,61.182,3.0,1.426,46.20758888209964,56.78240022506228,3.276571416138164,-12.6484066951407
1.5084,255.034,2.2,1.952,63.122193128730494,90.6192206866136,5.172014030580193,-22.480375425642663
3.0844,92.794,2.2,1.851,31.35175511337449,38.42412362393889,2.267241902017848,-9.098136406999226
5.3036,65.668,2.2,2.329,17.783320051593993,21.3185369075164,1.395420009467123,-5.168875436414608
3.6132,236.259,2.2,1.825,27.76689359012255,35.65415666162667,2.096195065410566,-9.209161233438325
3.1895,133.496,4.4,2.859,21.86727927817174,29.84093538386017,1.6579118867729552,-6.711644015788638
3.2116,111.52,3.0,1.809,27.337972042865136,34.995947978447084,1.8353875465406209,-7.366273760550229
1.1808,31.466,2.2,2.244,80.7625555668746,101.63420815690058,5.521548043446767,-20.408895005619858
1.9652,103.105,3.0,2.416,44.0661828969828,58.272168260433006,3.061664514428194,-13.179413700506268
4.4989,205.293,3.0,2.072,19.086249351321683,24.20508271769988,1.4922502202576209,-6.348397844881905
2.128,184.564,2.2,1.843,46.88407775825376,60.58997291329378,3.571706258565664,-15.178497058830905
1.5793,49.456,3.0,1.887,56.07142335036077,63.53438638995295,3.648753735356305,-15.808380129705863
4.527,134.717,3.0,2.313,18.262766561500158,22.862109050761237,1.4451863821546849,-5.6439511173713255
5.5355,42.055,4.4,1.198,12.208220479328606,16.06858275487609,0.8190725478169403,-3.5134292290858946
3.524,275.579,3.0,2.674,23.523578296602977,34.71990209498191,2.008468343642118,-8.026106099998783
4.1018,158.927,3.0,2.96,20.127000856495663,28.43120770038736,1.5357009347690165,-6.019975786879497
